train/entropy_loss,train/reward,train/n_updates,time/total_timesteps,time/fps,train/explained_variance,train/policy_loss,train/value_loss,time/time_elapsed,train/std,time/iterations,train/learning_rate
-41.34210205078125,-1.4218593,99,500,114,0.0,23.73267364501953,8.908560752868652,4,1.0069408416748047,100,0.0007
-41.3768310546875,-16.517324,199,1000,118,0.0,-191.12644958496094,59.605010986328125,8,1.007727026939392,200,0.0007
-41.39248275756836,60.59557,299,1500,119,2.980232238769531e-07,-3034.544189453125,5975.14306640625,12,1.0086297988891602,300,0.0007
-41.41266632080078,-5.800919,399,2000,120,0.0,1134.2347412109375,951.443359375,16,1.009427785873413,400,0.0007
-41.38887023925781,-257.2608,499,2500,119,1.7881393432617188e-07,16524.92578125,203844.78125,20,1.0083982944488525,500,0.0007
-41.435638427734375,-2.1036217,599,3000,120,0.0,126.8924789428711,14.927757263183594,24,1.0097219944000244,600,0.0007
-41.43185043334961,29.903273,699,3500,120,-1.1920928955078125e-07,-606.5005493164062,407.1541442871094,29,1.0099937915802002,700,0.0007
-41.40454864501953,17.271952,799,4000,120,0.0,1296.388671875,1216.0172119140625,33,1.0089640617370605,800,0.0007
-41.307167053222656,74.438065,899,4500,120,0.0,20.216650009155273,216.25877380371094,37,1.0055829286575317,900,0.0007
-41.334163665771484,33.310757,999,5000,120,0.0,2781.641845703125,5181.8095703125,41,1.0066618919372559,1000,0.0007
-41.29226303100586,116.85936,1099,5500,121,5.960464477539063e-08,6562.29541015625,28929.056640625,45,1.0054088830947876,1100,0.0007
-41.29345703125,12.702839,1199,6000,121,0.0,133.34414672851562,22.18984031677246,49,1.0053318738937378,1200,0.0007
-41.31071853637695,-3.2932913,1299,6500,121,0.0,-261.25909423828125,127.25963592529297,53,1.005977988243103,1300,0.0007
-41.31150817871094,12.101263,1399,7000,121,-2.384185791015625e-07,5398.3515625,21057.19921875,57,1.0058650970458984,1400,0.0007
-41.292903900146484,-52.90107,1499,7500,121,0.0,-3431.39501953125,12300.0185546875,61,1.005688190460205,1500,0.0007
-41.246192932128906,577.24316,1599,8000,121,0.0,-5232.79736328125,31423.349609375,65,1.0037341117858887,1600,0.0007
-41.24200439453125,-3.8273697,1699,8500,121,5.960464477539063e-08,256.02410888671875,57.57601547241211,69,1.003722071647644,1700,0.0007
-41.292171478271484,41.73642,1799,9000,121,0.0,1039.948486328125,2148.405029296875,74,1.0049742460250854,1800,0.0007
-41.27185821533203,-61.483963,1899,9500,121,-2.384185791015625e-07,-183.72789001464844,927.2642822265625,78,1.004692554473877,1900,0.0007
-41.24032211303711,43.809635,1999,10000,121,0.0,-5063.7548828125,21683.373046875,82,1.0038208961486816,2000,0.0007
-41.22926712036133,-20.144388,2099,10500,121,0.0,4470.2568359375,16438.5,86,1.0033272504806519,2100,0.0007
-41.211273193359375,-18.58594,2199,11000,121,-1.1920928955078125e-07,8143.89990234375,51941.65625,90,1.0027462244033813,2200,0.0007
-41.198524475097656,2.7828453,2299,11500,121,0.0,845.0836181640625,888.1904296875,94,1.0022403001785278,2300,0.0007
-41.196041107177734,2.8791382,2399,12000,121,0.0,-815.4512939453125,420.63555908203125,98,1.0020010471343994,2400,0.0007
-41.19195556640625,61.802235,2499,12500,121,1.7881393432617188e-07,1073.771728515625,2370.998046875,103,1.0018035173416138,2500,0.0007
-41.21894836425781,5.047703,2599,13000,121,0.0,767.2323608398438,462.9728698730469,107,1.0029746294021606,2600,0.0007
-41.193092346191406,205.32626,2699,13500,121,-1.1920928955078125e-07,4006.889892578125,16725.0703125,111,1.0019727945327759,2700,0.0007
-41.201881408691406,11.647865,2799,14000,121,0.0,-1.2780624628067017,21.388715744018555,115,1.0021588802337646,2800,0.0007
-41.171630859375,-23.803284,2899,14500,121,0.0,-2465.616455078125,15099.90625,119,1.0016003847122192,2900,0.0007
-41.210140228271484,23.238213,2999,15000,121,0.0,-1022.2105712890625,2239.277099609375,123,1.002855658531189,3000,0.0007
-41.26051330566406,-15.399319,3099,15500,121,0.0,2032.01953125,11168.87890625,127,1.0050219297409058,3100,0.0007
-41.24726867675781,-55.506824,3199,16000,121,0.0,-1020.0260009765625,3566.56494140625,131,1.0043073892593384,3200,0.0007
-41.229286193847656,6.276336,3299,16500,121,0.0,703.3531494140625,11865.4384765625,135,1.0036171674728394,3300,0.0007
-41.30617904663086,14.22668,3399,17000,121,-1.1920928955078125e-07,-34.95241928100586,217.29446411132812,139,1.0064892768859863,3400,0.0007
-41.3283576965332,50.25026,3499,17500,121,0.0,-3066.78564453125,7843.87646484375,143,1.007300615310669,3500,0.0007
-41.34634017944336,84.52327,3599,18000,121,0.0,-2577.320068359375,8036.86328125,148,1.0078572034835815,3600,0.0007
-41.313270568847656,67.40179,3699,18500,121,-1.1920928955078125e-07,15904.7880859375,213187.484375,152,1.006824016571045,3700,0.0007
-41.297584533691406,195.41714,3799,19000,121,0.0,-13593.0185546875,139385.59375,156,1.0063049793243408,3800,0.0007
-41.361114501953125,1.7484976,3899,19500,121,0.0,-145.490478515625,41.56473922729492,160,1.0084662437438965,3900,0.0007
-41.32624816894531,-37.385456,3999,20000,121,0.0,597.74853515625,397.7790222167969,164,1.0074031352996826,4000,0.0007
-41.30402374267578,29.74944,4099,20500,121,0.0,-1784.6907958984375,4377.39404296875,168,1.0063239336013794,4100,0.0007
-41.29207992553711,10.980396,4199,21000,121,0.0,4652.62744140625,18571.98046875,172,1.005866289138794,4200,0.0007
-41.197139739990234,-16.85236,4299,21500,121,2.384185791015625e-07,4499.31787109375,17855.978515625,177,1.0024985074996948,4300,0.0007
-41.227291107177734,294.49826,4399,22000,121,1.1920928955078125e-07,-16604.623046875,195741.734375,181,1.0036163330078125,4400,0.0007
-41.24763107299805,5.1236396,4499,22500,121,0.0,-939.0285034179688,753.1573486328125,185,1.0041941404342651,4500,0.0007
-41.256744384765625,-15.528395,4599,23000,121,5.960464477539063e-08,-2614.179443359375,4408.89111328125,189,1.0044691562652588,4600,0.0007
-41.20624542236328,20.541805,4699,23500,121,0.0,-2252.452880859375,4723.5791015625,193,1.0028104782104492,4700,0.0007
-41.19075393676758,31.537064,4799,24000,121,6.318092346191406e-06,274.794189453125,4898.53857421875,197,1.0021710395812988,4800,0.0007
-41.2017707824707,45.856693,4899,24500,121,1.7881393432617188e-07,3892.439208984375,19499.392578125,201,1.002837061882019,4900,0.0007
-41.18038558959961,-4.5496235,4999,25000,121,-1.1920928955078125e-07,115.7417221069336,9.56534481048584,205,1.0022414922714233,5000,0.0007
-41.1707763671875,-11.557529,5099,25500,121,0.0,1668.353759765625,2423.48095703125,209,1.001783847808838,5100,0.0007
-41.221595764160156,-38.062565,5199,26000,121,5.960464477539063e-08,1139.99755859375,2336.693359375,213,1.0036569833755493,5200,0.0007
-41.23921585083008,-55.84879,5299,26500,121,0.0,-1988.2469482421875,9146.337890625,218,1.0043585300445557,5300,0.0007
-41.25297546386719,110.29792,5399,27000,121,0.0,73.14192962646484,61.3642578125,222,1.0046859979629517,5400,0.0007
-41.18305969238281,-155.66653,5499,27500,121,0.0,-789.3619995117188,3340.51171875,226,1.0026437044143677,5500,0.0007
-41.17572021484375,3.0295086,5599,28000,121,0.0,78.58815002441406,15.7305269241333,230,1.0020322799682617,5600,0.0007
-41.22140121459961,-37.64381,5699,28500,121,0.0,352.0020446777344,711.0018920898438,234,1.0037600994110107,5700,0.0007
-41.24434280395508,-0.35591412,5799,29000,121,0.0,-936.1967163085938,1167.9130859375,238,1.0046157836914062,5800,0.0007
-41.221839904785156,69.49736,5899,29500,121,6.54458999633789e-05,6196.98193359375,36090.1328125,242,1.003697395324707,5900,0.0007
-41.18899154663086,-581.02856,5999,30000,121,0.0,-2036.372314453125,20350.474609375,247,1.0026404857635498,6000,0.0007
-41.156673431396484,-3.5780022,6099,30500,121,-1.1920928955078125e-07,316.4089050292969,60.03567123413086,251,1.0017367601394653,6100,0.0007
-41.09193420410156,-13.256073,6199,31000,121,0.0,-626.6615600585938,436.96710205078125,255,0.9995474219322205,6200,0.0007
-41.16128158569336,15.711871,6299,31500,121,1.7881393432617188e-07,4166.46630859375,10856.0888671875,259,1.0019992589950562,6300,0.0007
-41.174739837646484,33.116215,6399,32000,121,-1.1920928955078125e-07,6732.9228515625,28254.0,263,1.0022982358932495,6400,0.0007
-41.116493225097656,-12.41548,6499,32500,121,0.0,4415.57373046875,19119.935546875,267,1.0000553131103516,6500,0.0007
-41.095130920410156,1.075029,6599,33000,121,-1.1920928955078125e-07,20574.880859375,282734.59375,271,0.9995125532150269,6600,0.0007
-41.072139739990234,0.043741364,6699,33500,121,-1.1920928955078125e-07,477.3231506347656,159.63726806640625,275,0.9987223148345947,6700,0.0007
-41.0648193359375,25.303755,6799,34000,121,0.0,1848.2845458984375,2509.25537109375,279,0.9984672665596008,6800,0.0007
-41.091651916503906,11.877355,6899,34500,121,2.384185791015625e-07,-8857.58984375,49726.203125,283,0.9995125532150269,6900,0.0007
-41.110626220703125,42.253845,6999,35000,121,0.0,-1190.4276123046875,9829.2744140625,287,1.0001002550125122,7000,0.0007
-41.080257415771484,-458.15085,7099,35500,121,0.0,12806.611328125,112114.6171875,291,0.9992737770080566,7100,0.0007
-41.037017822265625,0.72941244,7199,36000,121,0.0,-149.3087615966797,14.508386611938477,296,0.9976274967193604,7200,0.0007
-41.01930236816406,7.180016,7299,36500,121,0.0,616.85693359375,290.15167236328125,300,0.9968649744987488,7300,0.0007
-41.01591110229492,9.369647,7399,37000,121,0.0,902.1481323242188,703.0535278320312,304,0.9967978596687317,7400,0.0007
-41.05947494506836,-82.0405,7499,37500,121,0.0,-13172.6064453125,95329.65625,308,0.9984927177429199,7500,0.0007
-41.080604553222656,-39.493214,7599,38000,121,1.1920928955078125e-07,-3353.371826171875,6679.22900390625,312,0.999269425868988,7600,0.0007
-41.12000274658203,-97.66777,7699,38500,121,-1.1920928955078125e-07,-56945.63671875,1948015.0,316,1.000519037246704,7700,0.0007
-41.13275909423828,0.6758356,7799,39000,121,0.0,-230.9578094482422,95.74320220947266,320,1.0014829635620117,7800,0.0007
-41.11920928955078,87.7417,7899,39500,121,0.0,-2183.35595703125,4099.41552734375,324,1.000917673110962,7900,0.0007
-41.09943389892578,2.4347625,7999,40000,121,0.0,1381.1961669921875,2739.1806640625,328,0.9999122023582458,8000,0.0007
-41.12775802612305,-288.9775,8099,40500,121,0.0,6534.52587890625,42706.76171875,332,1.00111985206604,8100,0.0007
-41.11127471923828,-39.111805,8199,41000,121,0.0,14885.853515625,153690.484375,336,1.0005061626434326,8200,0.0007
-41.05863571166992,-211.27309,8299,41500,121,-1.1920928955078125e-07,12945.2265625,92297.171875,341,0.9989117383956909,8300,0.0007
-41.10126495361328,1.4221375,8399,42000,121,0.0,769.4967651367188,551.6414184570312,345,1.0003461837768555,8400,0.0007
-41.06221008300781,58.856907,8499,42500,121,0.0,-2423.021484375,4834.0751953125,349,0.998957633972168,8500,0.0007
-41.11302185058594,56.484764,8599,43000,121,2.384185791015625e-07,2411.596435546875,6408.08349609375,353,1.0004653930664062,8600,0.0007
-41.13143539428711,23.976505,8699,43500,121,0.0,-7320.50390625,45701.40234375,357,1.0017411708831787,8700,0.0007
-41.20610046386719,662.9041,8799,44000,121,-2.384185791015625e-07,18459.6640625,246323.734375,361,1.0038948059082031,8800,0.0007
-41.21966552734375,4.871693,8899,44500,121,0.0,-447.6805725097656,141.04161071777344,365,1.0045608282089233,8900,0.0007
-41.17362594604492,2.8601277,8999,45000,121,0.0,3137.096435546875,6596.27099609375,369,1.0029736757278442,9000,0.0007
-41.204341888427734,30.581371,9099,45500,121,0.0,1450.6319580078125,3429.089111328125,373,1.0038644075393677,9100,0.0007
-41.19002914428711,-82.54608,9199,46000,121,-1.1920928955078125e-07,-935.4029541015625,5166.12060546875,377,1.0036367177963257,9200,0.0007
-41.124969482421875,118.25782,9299,46500,121,-1.1920928955078125e-06,385.5842590332031,5170.63818359375,381,1.0016257762908936,9300,0.0007
-41.078060150146484,232.6682,9399,47000,121,1.1920928955078125e-07,4360.400390625,102352.3359375,386,0.999502420425415,9400,0.0007
-41.127437591552734,-3.2372751,9499,47500,121,0.0,-605.3824462890625,252.5398406982422,390,1.0011835098266602,9500,0.0007
-41.14937973022461,39.826305,9599,48000,121,1.1920928955078125e-07,-329.3621520996094,75.76073455810547,394,1.0020431280136108,9600,0.0007
-41.106292724609375,-20.647646,9699,48500,121,5.960464477539063e-08,661.8461303710938,3611.862548828125,398,1.000324010848999,9700,0.0007
-41.05863952636719,105.51805,9799,49000,121,5.364418029785156e-07,1678.4573974609375,19224.853515625,402,0.9990373849868774,9800,0.0007
-41.006832122802734,124.65222,9899,49500,121,0.0,-4056.032958984375,19279.62109375,406,0.9972776770591736,9900,0.0007
-40.94916534423828,-3.0389903,9999,50000,121,0.0,38.85760498046875,21.510025024414062,410,0.9952645897865295,10000,0.0007
